Date_Key,Currency_Code,Fact,Fact_Type,Source
29/6/13,AED,544,Volume,coin-dance-localbitcoins
6/7/13,AED,,Volume,coin-dance-localbitcoins
13/7/13,AED,,Volume,coin-dance-localbitcoins
20/7/13,AED,,Volume,coin-dance-localbitcoins
27/7/13,AED,,Volume,coin-dance-localbitcoins
3/8/13,AED,,Volume,coin-dance-localbitcoins
10/8/13,AED,,Volume,coin-dance-localbitcoins
17/8/13,AED,,Volume,coin-dance-localbitcoins
24/8/13,AED,,Volume,coin-dance-localbitcoins
31/8/13,AED,2215,Volume,coin-dance-localbitcoins
7/9/13,AED,,Volume,coin-dance-localbitcoins
14/9/13,AED,,Volume,coin-dance-localbitcoins
21/9/13,AED,479,Volume,coin-dance-localbitcoins
28/9/13,AED,2650,Volume,coin-dance-localbitcoins
5/10/13,AED,,Volume,coin-dance-localbitcoins
12/10/13,AED,,Volume,coin-dance-localbitcoins
19/10/13,AED,,Volume,coin-dance-localbitcoins
26/10/13,AED,,Volume,coin-dance-localbitcoins
2/11/13,AED,,Volume,coin-dance-localbitcoins
8/11/13,AED,,Volume,coin-dance-localbitcoins
9/11/13,AED,1493,Volume,coin-dance-localbitcoins
16/11/13,AED,,Volume,coin-dance-localbitcoins
23/11/13,AED,,Volume,coin-dance-localbitcoins
30/11/13,AED,,Volume,coin-dance-localbitcoins
7/12/13,AED,,Volume,coin-dance-localbitcoins
14/12/13,AED,65986,Volume,coin-dance-localbitcoins
21/12/13,AED,3078,Volume,coin-dance-localbitcoins
28/12/13,AED,17133,Volume,coin-dance-localbitcoins
4/1/14,AED,1009,Volume,coin-dance-localbitcoins
11/1/14,AED,27257,Volume,coin-dance-localbitcoins
18/1/14,AED,109056,Volume,coin-dance-localbitcoins
25/1/14,AED,31712,Volume,coin-dance-localbitcoins
1/2/14,AED,34614,Volume,coin-dance-localbitcoins
8/2/14,AED,21238,Volume,coin-dance-localbitcoins
15/2/14,AED,28010,Volume,coin-dance-localbitcoins
