"Label","Value"
"2013-07-13","8469975"
"2013-07-20",""
"2013-07-27",""
"2013-08-03",""
"2013-08-10",""
"2013-08-17",""
"2013-08-24",""
"2013-08-31","8000633"
"2013-09-07","6999587"
"2013-09-14",""
"2013-09-21",""
"2013-09-28",""
"2013-10-05","102454"
"2013-10-12",""
"2013-10-19","61564"
"2013-10-26","3095241"
"2013-11-02","420131"
"2013-11-09","4738972"
"2013-11-16","2802421"
"2013-11-23","7983001"
"2013-11-30","10324896"
"2013-12-07","31440462"
"2013-12-14","8905992"
"2013-12-21","2012303"
"2013-12-28","1418795"
"2014-01-04","698604"
"2014-01-11","22209696"
"2014-01-18","47844978"
"2014-01-25","28014189"
"2014-02-01","25921019"
"2014-02-08","29913062"
"2014-02-15","17866310"
"2014-02-22","9732719"
"2014-03-01","24735544"
"2014-03-08","16459731"
"2014-03-15","20259944"
"2014-03-22","6906293"
"2014-03-29","9955022"
"2014-04-05","2424000"
"2014-04-12","8414667"
"2014-04-19","3064950"
"2014-04-26","10891130"
"2014-05-03","1529692"
"2014-05-10","2387589"
"2014-05-17","6988634"
"2014-05-24","16351306"
"2014-05-31","6544983"
"2014-06-07","1076194"
"2014-06-14","8599045"
"2014-06-21","5852314"
"2014-06-28","24501236"
"2014-07-05","8175380"
"2014-07-12","3920114"
"2014-07-19","9285625"
"2014-07-26","12271265"
"2014-08-02","15151377"
"2014-08-09","18335942"
"2014-08-16","9190291"
"2014-08-23","17448830"
"2014-08-30","17444450"
"2014-09-06","9564109"
"2014-09-13","9988524"
"2014-09-20","12502815"
"2014-09-27","7468891"
"2014-10-04","14522103"
"2014-10-11","16547806"
"2014-10-18","12803160"
"2014-10-25","21818665"
"2014-11-01","32504749"
"2014-11-08","8033282"
"2014-11-15","9502811"
"2014-11-22","10817236"
"2014-11-29","8540546"
"2014-12-06","20709504"
"2014-12-13","5728407"
"2014-12-20","16097110"
"2014-12-27","2327985"
"2015-01-03","54688547"
"2015-01-10","17410443"
"2015-01-17","22905161"
"2015-01-24","25298014"
"2015-01-31","13777796"
"2015-02-07","19576565"
"2015-02-14","28652422"
"2015-02-21","14056069"
"2015-02-28","8706395"
"2015-03-07","13583388"
"2015-03-14","10817304"
"2015-03-21","4612387"
"2015-03-28","24089658"
"2015-04-04","11777542"
"2015-04-11","10280337"
"2015-04-18","29388476"
"2015-04-25","10770641"
"2015-05-02","37704298"
"2015-05-09","22522303"
"2015-05-16","37182778"
"2015-05-23","20102630"
"2015-05-30","18781516"
"2015-06-06","23990144"
"2015-06-13","13130167"
"2015-06-20","13420893"
"2015-06-27","20730258"
"2015-07-04","24838313"
"2015-07-11","15053526"
"2015-07-18","23235019"
"2015-07-25","18123091"
"2015-08-01","34944433"
"2015-08-08","20006036"
"2015-08-15","24283016"
"2015-08-22","42139986"
"2015-08-29","20523453"
"2015-09-05","32305619"
"2015-09-12","54574717"
"2015-09-19","32375232"
"2015-09-26","28815591"
"2015-10-03","27013955"
"2015-10-10","23052813"
"2015-10-17","26458979"
"2015-10-24","17590971"
"2015-10-31","33599908"
"2015-11-07","62657836"
"2015-11-14","41231705"
"2015-11-21","14077195"
"2015-11-28","29874796"
"2015-12-05","28326547"
"2015-12-12","28172484"
"2015-12-19","69564197"
"2015-12-26","20784592"
"2016-01-02","8319356"
"2016-01-09","36211843"
"2016-01-16","43978478"
"2016-01-23","43469455"
"2016-01-30","39772909"
"2016-02-06","35145946"
"2016-02-13","57993251"
"2016-02-20","52274091"
"2016-02-27","32830570"
"2016-03-05","76415976"
"2016-03-12","41977681"
"2016-03-19","43555818"
"2016-03-26","14025198"
"2016-04-02","33726615"
"2016-04-09","46713276"
"2016-04-16","54021766"
"2016-04-23","74389448"
"2016-04-30","42999249"
"2016-05-07","69559323"
"2016-05-14","84222277"
"2016-05-21","71319642"
"2016-05-28","131448744"
"2016-06-04","95682192"
"2016-06-11","108028886"
"2016-06-18","166461308"
"2016-06-25","125775431"
"2016-07-02","142361814"
"2016-07-09","79085141"
"2016-07-16","64585805"
"2016-07-23","51183713"
"2016-07-30","97606036"
"2016-08-06","103529230"
"2016-08-13","77421358"
"2016-08-20","125163637"
"2016-08-27","210079999"
"2016-09-03","100108688"
"2016-09-10","124025449"
"2016-09-17","138586803"
"2016-09-24","118357149"
"2016-10-01","125904775"
"2016-10-08","185125818"
"2016-10-15","220096457"
"2016-10-22","161743809"
"2016-10-29","204725083"
"2016-11-05","206517261"
"2016-11-12","133653379"
"2016-11-19","175755667"
