"Label","Value"
"2013-11-02","866"
"2013-11-23","2012"
"2013-11-30","1122"
"2013-12-07",""
"2013-12-14",""
"2013-12-21",""
"2013-12-28","112"
"2014-01-18","319"
"2014-01-25",""
"2014-02-01",""
"2014-02-08",""
"2014-02-15",""
"2014-02-22",""
"2014-03-01",""
"2014-03-08",""
"2014-03-15",""
"2014-03-22",""
"2014-03-29",""
"2014-04-05",""
"2014-04-12",""
"2014-04-19",""
"2014-04-26",""
"2014-05-03",""
"2014-05-10",""
"2014-05-17",""
"2014-05-24",""
"2014-05-31",""
"2014-06-07",""
"2014-06-14",""
"2014-06-21",""
"2014-06-28",""
"2014-07-05",""
"2014-07-12",""
"2014-07-19",""
"2014-07-26",""
"2014-08-02",""
"2014-08-09",""
"2014-08-16",""
"2014-08-23",""
"2014-08-30",""
"2014-09-06",""
"2014-09-13",""
"2014-09-20",""
"2014-09-27",""
"2014-10-04",""
"2014-10-11",""
"2014-10-18",""
"2014-10-25",""
"2014-11-01",""
"2014-11-08",""
"2014-11-15",""
"2014-11-22",""
"2014-11-29",""
"2014-12-06",""
"2014-12-13",""
"2014-12-20",""
"2014-12-27",""
"2015-08-29","4598"
"2015-09-05",""
"2015-09-12",""
"2015-09-19",""
"2015-09-26",""
"2015-10-03",""
"2015-10-10",""
"2015-10-17","161"
"2015-10-24",""
"2015-10-31","60757"
"2015-11-21","403"
"2015-11-28",""
"2015-12-05",""
"2015-12-12",""
"2015-12-19",""
"2015-12-26",""
"2016-01-02",""
"2016-01-09",""
"2016-01-16",""
"2016-01-23",""
"2016-01-30",""
"2016-02-06",""
"2016-02-13","118"
"2016-02-20",""
"2016-02-27",""
"2016-03-05",""
"2016-03-12",""
"2016-03-19",""
"2016-03-26",""
"2016-04-02",""
"2016-04-09",""
"2016-04-16",""
"2016-04-23",""
"2016-04-30",""
"2016-05-07",""
"2016-05-14",""
"2016-05-21",""
"2016-05-28",""
"2016-06-04",""
"2016-06-11",""
"2016-06-18",""
"2016-06-25",""
"2016-07-02",""
"2016-07-09",""
"2016-07-16",""
"2016-07-23",""
"2016-07-30","120000"
"2016-08-06","1556"
"2016-08-13","15012"
"2016-08-20","49721"
"2016-08-27",""
"2016-09-03","3382"
"2016-09-10",""
"2016-09-17",""
"2016-09-24",""
"2016-10-01",""
"2016-10-08","2289"
"2016-10-15","7100"
"2016-10-22",""
"2016-10-29",""
"2016-11-05",""
"2016-11-11",""
"2016-11-18",""
"2016-11-25",""
"2016-12-02",""
"2016-12-09",""
"2016-12-10","2959"
"2016-12-17",""
"2016-12-24","5155"
"2016-12-31","12878"
"2017-01-07","7260"
"2017-01-14","114180"
"2017-01-21","71570"
"2017-01-28","115477"
"2017-02-04","577209"
"2017-02-11","403490"
"2017-02-18","183523"
"2017-02-25","77421"
"2017-03-04","119500"
"2017-03-11","96940"
"2017-03-18","138900"
"2017-03-25","13297"
"2017-04-01","45715"
"2017-04-08","500"
"2017-04-15","500"
"2017-04-22",""
"2017-04-29","3500"
"2017-05-06","4000"
"2017-05-13","4000"
"2017-05-20","5500"
"2017-05-27","1000"
"2017-06-03",""
"2017-06-10","4350"
"2017-06-17","2904"
"2017-06-24","6000"
"2017-07-01","12000"
"2017-07-08","42815"
"2017-07-15","172525"
"2017-07-22","39577"
"2017-07-29","44294"
"2017-08-05","23447"
"2017-08-12","21879"
"2017-08-19","81234"
"2017-08-26","109806"
"2017-09-02","28269"
"2017-09-09","41138"
"2017-09-16","383086"
"2017-09-23","464249"
"2017-09-30","243552"
"2017-10-07","64791"
"2017-10-14","109312"
"2017-10-21","80175"
"2017-10-28","35299"
"2017-11-04","302325"
"2017-11-11","91284"
"2017-11-18","586396"
"2017-11-25","50708"
"2017-12-02","300524"
"2017-12-09","777278"
"2017-12-16","252345"
"2017-12-23","369865"
"2017-12-30","435803"
"2018-01-06","441363"
"2018-01-13","649582"
"2018-01-20","429726"
"2018-01-27","192178"
"2018-02-03","116838"
"2018-02-10","350062"
"2018-02-17","437392"
"2018-02-24","357356"
"2018-03-03","287667"
"2018-03-10","283788"
"2018-03-17","233942"
"2018-03-24","88301"
"2018-03-31","181066"
"2018-04-07","300260"
"2018-04-14","158342"
"2018-04-21","183067"
"2018-04-28","133359"
"2018-05-05","209538"
"2018-05-12","351737"
"2018-05-19","272338"
"2018-05-26","191993"
"2018-06-02","234046"
"2018-06-09","186509"
"2018-06-16","70904"
"2018-06-23","203238"
"2018-06-30","180697"
"2018-07-07","194608"
"2018-07-14","157817"
"2018-07-21","223817"
"2018-07-28","329962"
"2018-08-04","433991"
"2018-08-11","186528"
"2018-08-18","192361"
"2018-08-25","159417"
"2018-09-01","168916"
"2018-09-08","271188"
"2018-09-15","208106"
"2018-09-22","197271"
"2018-09-29","171272"
"2018-10-06","398504"
"2018-10-13","1114273"
"2018-10-20","440676"
"2018-10-27","417901"
"2018-11-03","712813"
"2018-11-10","519190"
"2018-11-17","300323"
"2018-11-24","346043"
"2018-12-01","241757"
"2018-12-08","362446"
"2018-12-15","390954"
"2018-12-22","350828"
"2018-12-29","419438"
"2019-01-05","358063"
"2019-01-12","437881"
"2019-01-19","357344"
"2019-01-26","348392"
"2019-02-02","349159"
"2019-02-09","341164"
"2019-02-16","297618"
"2019-02-23","255081"
"2019-03-02","382116"
"2019-03-09","328674"
"2019-03-16","253599"
"2019-03-23","351999"
"2019-03-30","318352"
"2019-04-06","364876"
"2019-04-13","408362"
"2019-04-20","248001"
"2019-04-27","387692"
"2019-05-04","453636"
"2019-05-11","349332"
"2019-05-18","372292"
"2019-05-25","411411"
"2019-06-01","316060"
"2019-06-08","326827"
"2019-06-15","454699"
"2019-06-22","513950"
"2019-06-29","643685"
"2019-07-06","1020396"
"2019-07-13","559785"
"2019-07-20","265261"
"2019-07-27","383694"
"2019-08-03","511670"
"2019-08-10","348967"
"2019-08-17","363575"
"2019-08-24","591170"
"2019-08-31","730220"
"2019-09-07","1018667"
"2019-09-14","859476"
"2019-09-21","875646"
"2019-09-28","654653"
"2019-10-05","438834"
"2019-10-12","514913"
"2019-10-19","426113"
"2019-10-26","627346"
"2019-11-02","488894"
"2019-11-09","370184"
"2019-11-16","374467"
"2019-11-23","580874"
"2019-11-30","420285"
"2019-12-07","583684"
"2019-12-14","577721"
"2019-12-21","580232"
"2019-12-28","592112"
"2020-01-04","551438"
"2020-01-11","588373"
"2020-01-18","683521"
"2020-01-25","589687"
"2020-02-01","692845"
"2020-02-08","810379"
"2020-02-15","501156"
"2020-02-22","878606"
"2020-02-29","832848"
"2020-03-07","858735"
"2020-03-14","1283130"
"2020-03-21","577060"
"2020-03-28","447876"
"2020-04-04","609861"
"2020-04-11","589160"
"2020-04-18","492554"
"2020-04-25","696443"
"2020-05-02","1008774"
"2020-05-09","1154491"
"2020-05-16","841191"
"2020-05-23","695792"
"2020-05-30","642249"
"2020-06-06","2190546"
"2020-06-13","1854972"
"2020-06-20","1468545"
"2020-06-27","1557103"
"2020-07-04","1201393"
"2020-07-11","1768963"
"2020-07-18","2245462"
"2020-07-25","1740980"
"2020-08-01","1671897"
"2020-08-08","1948360"
"2020-08-15","1940084"
"2020-08-22","1671415"
"2020-08-29","1706236"
"2020-09-05","1900935"
"2020-09-12","1397420"
"2020-09-19","1516708"
"2020-09-26","1688464"
