"Label","Value"
"2013-11-30","1470"
"2013-12-07",""
"2013-12-14",""
"2013-12-21",""
"2013-12-28",""
"2014-03-15","1020"
"2014-03-22",""
"2014-03-29",""
"2014-04-05","1620"
"2014-04-12","4020"
"2014-04-19",""
"2014-04-26",""
"2014-05-03",""
"2014-05-10",""
"2014-05-17",""
"2014-05-24",""
"2014-05-31",""
"2014-06-07",""
"2014-06-14",""
"2014-06-21",""
"2014-06-28",""
"2014-07-05",""
"2014-07-12",""
"2014-07-19",""
"2014-07-26",""
"2014-08-02",""
"2014-08-09",""
"2014-08-16",""
"2014-08-23",""
"2014-08-30",""
"2014-09-06",""
"2014-09-13",""
"2014-09-20",""
"2014-09-27",""
"2014-10-04","990"
"2014-10-11",""
"2014-10-18",""
"2014-10-25",""
"2014-11-01",""
"2014-11-07",""
"2014-11-14",""
"2014-11-21",""
"2014-11-28",""
"2014-12-05",""
"2014-12-12",""
"2014-12-19",""
"2014-12-26",""
"2015-01-02",""
"2015-01-09",""
"2015-01-16",""
"2015-01-23",""
"2015-01-30",""
"2015-02-06",""
"2015-02-13",""
"2015-02-20",""
"2015-02-27",""
"2015-03-06",""
"2015-03-14",""
"2015-03-21",""
"2015-03-28",""
"2015-04-04",""
"2015-04-11",""
"2015-04-18",""
"2015-04-25",""
"2015-05-02",""
"2015-05-09",""
"2015-05-16",""
"2015-05-23",""
"2015-05-30",""
"2015-06-06",""
"2015-06-13",""
"2015-06-20",""
"2015-06-27",""
"2015-07-04",""
"2015-07-11",""
"2015-07-18",""
"2015-07-25",""
"2015-08-01",""
"2015-08-08",""
"2015-08-15",""
"2015-08-22",""
"2015-08-29",""
"2015-09-05",""
"2015-09-12",""
"2015-09-19",""
"2015-09-26","989"
"2015-10-03","330"
"2015-10-10",""
"2015-10-17",""
"2015-10-24",""
"2015-10-31",""
"2015-11-06",""
"2015-11-13",""
"2015-11-20",""
"2015-11-27",""
"2015-12-04",""
"2015-12-11",""
"2015-12-18",""
"2015-12-25",""
"2016-01-01",""
"2016-01-09","2024"
"2016-01-16","1985"
"2016-01-23",""
"2016-01-30","1470"
"2016-02-06","2009"
"2016-02-13","2989"
"2016-02-20","38580"
"2016-02-27",""
"2016-03-05","867"
"2016-03-12",""
"2016-03-19","1632"
"2016-03-26","300"
"2016-04-02",""
"2016-04-09","625"
"2016-04-16",""
"2016-04-23","444"
"2016-04-30","28676"
"2016-05-07","23420"
"2016-05-14","17415"
"2016-05-21","55096"
"2016-05-28","34723"
"2016-06-04","91329"
"2016-06-11","178154"
"2016-06-18","119246"
"2016-06-25","45680"
"2016-07-02","97862"
"2016-07-09","42077"
"2016-07-16","97600"
"2016-07-23","70051"
"2016-07-30","109617"
"2016-08-06","84429"
"2016-08-13","46523"
"2016-08-20","116533"
"2016-08-27","81927"
"2016-09-03","42401"
"2016-09-10","281685"
"2016-09-17","125819"
"2016-09-24","171544"
"2016-10-01","200472"
"2016-10-08","111327"
"2016-10-15","177346"
"2016-10-22","210493"
"2016-10-29","145894"
"2016-11-05","151989"
"2016-11-12","220739"
"2016-11-19","229316"
"2016-11-26","288182"
"2016-12-03","240877"
"2016-12-10","523375"
"2016-12-17","312566"
"2016-12-24","70513"
"2016-12-31","153497"
"2017-01-07","175722"
"2017-01-14","176478"
"2017-01-21","183312"
"2017-01-28","76777"
"2017-02-04","175116"
"2017-02-11","188377"
"2017-02-18","223666"
"2017-02-25","132461"
"2017-03-04","181256"
"2017-03-11","180490"
"2017-03-18","221958"
"2017-03-25","216703"
"2017-04-01","418742"
"2017-04-08","252849"
"2017-04-15","568020"
"2017-04-22","242150"
"2017-04-29","370933"
"2017-05-06","290908"
"2017-05-13","321129"
"2017-05-20","604116"
"2017-05-27","890940"
"2017-06-03","308565"
"2017-06-10","1062362"
"2017-06-17","511324"
"2017-06-24","1541812"
"2017-07-01","1946932"
"2017-07-08","854703"
"2017-07-15","835194"
"2017-07-22","1156830"
"2017-07-29","442432"
"2017-08-05","509546"
"2017-08-12","735986"
"2017-08-19","625288"
"2017-08-26","614279"
