"Label","Value"
"2013-03-16","10943"
"2013-03-23","29649"
"2013-03-30","7205"
"2013-04-06","3132"
"2013-04-13","35132"
"2013-04-20","9297"
"2013-04-27","8607"
"2013-05-04","3887"
"2013-05-11","23993"
"2013-05-18","2647"
"2013-05-25","10001"
"2013-06-01","1545"
"2013-06-08","900"
"2013-06-15","3320"
"2013-06-22","31497"
"2013-06-29","3757"
"2013-07-06","21716"
"2013-07-13","7086"
"2013-07-20","7521"
"2013-07-27","7435"
"2013-08-03","9539"
"2013-08-10","108761"
"2013-08-17","14053"
"2013-08-24","80293"
"2013-08-31","13609"
"2013-09-07","81344"
"2013-09-14","29520"
"2013-09-21","41387"
"2013-09-28","111512"
"2013-10-05","76890"
"2013-10-12","54535"
"2013-10-19","20026"
"2013-10-26","48635"
"2013-11-02","40526"
"2013-11-09","50314"
"2013-11-16","79065"
"2013-11-23","127218"
"2013-11-30","179483"
"2013-12-07","130685"
"2013-12-14","133731"
"2013-12-21","99432"
"2013-12-28","93179"
"2014-01-04","431148"
"2014-01-11","214014"
"2014-01-18","123123"
"2014-01-25","215066"
"2014-02-01","189848"
"2014-02-08","124702"
"2014-02-15","93126"
"2014-02-22","138838"
"2014-03-01","143863"
"2014-03-08","79322"
"2014-03-15","159659"
"2014-03-22","163959"
"2014-03-29","183538"
"2014-04-05","156742"
"2014-04-12","203097"
"2014-04-19","179868"
"2014-04-26","147842"
"2014-05-03","121888"
"2014-05-10","177708"
"2014-05-17","139820"
"2014-05-24","189898"
"2014-05-31","274669"
"2014-06-07","279546"
"2014-06-14","257802"
"2014-06-21","299767"
"2014-06-28","318424"
"2014-07-05","312445"
"2014-07-12","277837"
"2014-07-19","284593"
"2014-07-26","269432"
"2014-08-02","338368"
"2014-08-09","298292"
"2014-08-16","391338"
"2014-08-23","362324"
"2014-08-30","459050"
"2014-09-06","356544"
"2014-09-13","380440"
"2014-09-20","414608"
"2014-09-27","630517"
"2014-10-04","562315"
"2014-10-11","441483"
"2014-10-18","507747"
"2014-10-25","681978"
"2014-11-01","481708"
"2014-11-08","346016"
"2014-11-15","254082"
"2014-11-22","353284"
"2014-11-29","430213"
"2014-12-06","451262"
"2014-12-13","555469"
"2014-12-20","499129"
"2014-12-27","435539"
"2015-01-03","375888"
"2015-01-10","479473"
"2015-01-17","698275"
"2015-01-24","791781"
