"Label","Value"
"2013-08-24","956"
"2013-08-31",""
"2013-09-07",""
"2013-09-14",""
"2013-09-21",""
"2013-09-28","388"
"2013-10-05",""
"2013-10-12",""
"2013-10-19",""
"2013-10-26",""
"2013-11-02",""
"2013-11-08",""
"2013-11-15",""
"2013-11-22",""
"2013-11-29",""
"2013-12-06",""
"2013-12-13",""
"2013-12-20",""
"2013-12-27",""
"2014-01-03",""
"2014-01-10",""
"2014-01-17",""
"2014-01-18","68"
"2014-01-25",""
"2014-02-01","127"
"2014-02-08",""
"2014-02-15","276"
"2014-02-22","0"
"2014-03-01",""
"2014-03-08","2807"
"2014-03-15","2915"
"2014-03-22",""
"2014-03-29",""
"2014-04-05",""
"2014-04-12","1923"
"2014-04-19",""
"2014-04-26",""
"2014-05-03",""
"2014-05-10",""
"2014-05-17",""
"2014-05-24",""
"2014-05-31",""
"2014-06-07",""
"2014-06-14","242"
"2014-06-21",""
"2014-06-28",""
"2014-07-05","1"
"2014-07-12",""
"2014-07-19",""
"2014-07-26",""
"2014-08-02",""
"2014-08-09",""
"2014-08-16","5019"
"2014-08-23","950"
"2014-08-30",""
"2014-09-06",""
"2014-09-13",""
"2014-09-20",""
"2014-09-27",""
"2014-10-04","1494"
"2014-10-11",""
"2014-10-18",""
"2014-10-25","2995"
"2014-11-01","8292"
"2014-11-08","16411"
"2014-11-15","20454"
"2014-11-22","6369"
"2014-11-29","2224"
"2014-12-06","282"
"2014-12-13","8754"
"2014-12-20","14984"
"2014-12-27","2798"
"2015-01-03","13309"
"2015-01-10","28154"
"2015-01-17","10972"
"2015-01-24",""
"2015-01-31","11245"
"2015-02-07","3550"
"2015-02-14","132822"
"2015-02-21","79229"
"2015-02-28","84014"
"2015-03-07","9135"
"2015-03-14","48266"
"2015-03-21","57354"
"2015-03-28","35323"
"2015-04-04","38868"
"2015-04-11","40880"
"2015-04-18","10889"
"2015-04-25","18554"
"2015-05-02","15265"
"2015-05-09","3540"
"2015-05-16","58923"
"2015-05-23","64664"
"2015-05-30","61502"
"2015-06-06","48314"
"2015-06-13","381254"
"2015-06-20","94205"
"2015-06-27","58842"
"2015-07-04","61981"
"2015-07-11","110993"
"2015-07-18","139886"
"2015-07-25","137888"
"2015-08-01","196052"
"2015-08-08","149184"
"2015-08-15","112052"
"2015-08-22","78841"
"2015-08-29","68055"
"2015-09-05","137477"
"2015-09-12","133346"
"2015-09-19","181546"
"2015-09-26","138800"
"2015-10-03","73255"
"2015-10-10","196229"
"2015-10-17","367870"
"2015-10-24","135093"
"2015-10-31","209324"
"2015-11-07","179476"
"2015-11-14","158395"
"2015-11-21","198929"
"2015-11-28","260397"
"2015-12-05","211455"
"2015-12-12","207801"
"2015-12-19","188029"
"2015-12-26","409588"
"2016-01-02","190243"
"2016-01-09","252612"
"2016-01-16","296106"
"2016-01-23","255678"
"2016-01-30","489255"
"2016-02-06","268191"
"2016-02-13","451381"
"2016-02-20","446747"
"2016-02-27","551685"
"2016-03-05","594285"
"2016-03-12","373315"
"2016-03-19","289792"
"2016-03-26","533744"
"2016-04-02","152018"
"2016-04-09","363817"
"2016-04-16","357603"
"2016-04-23","441335"
"2016-04-30","500580"
"2016-05-07","431300"
"2016-05-14","401369"
"2016-05-21","455546"
"2016-05-28","300402"
"2016-06-04","332964"
"2016-06-11","287807"
"2016-06-18","472111"
"2016-06-25","357607"
"2016-07-02","556466"
"2016-07-09","535484"
"2016-07-16","637090"
"2016-07-23","452646"
"2016-07-30","533870"
"2016-08-06","722223"
"2016-08-13","593424"
"2016-08-20","635995"
"2016-08-27","868568"
"2016-09-03","1012217"
"2016-09-10","3216110"
"2016-09-17","1311279"
"2016-09-24","1103381"
"2016-10-01","810023"
"2016-10-08","1035709"
"2016-10-15","1349494"
"2016-10-22","1102069"
"2016-10-29","1324407"
"2016-11-05","1126176"
