"Label","Value"
"2013-10-12","0.00184"
"2013-10-19","0.01495"
"2013-11-09","0.10779"
"2013-11-23","0.00511"
"2013-11-30","0.55236"
"2013-12-07","0.00955"
"2014-02-01","1.16419"
"2014-02-08","4.98346"
"2014-02-15","6.86132"
"2014-02-22","0.08164"
"2014-03-01","1.20812"
"2014-03-08","2.44386"
"2014-03-15","0.53272"
"2014-03-22","0.0049"
"2014-03-29","0.00464"
"2014-04-19","1.2"
"2014-04-26","5.47776"
"2014-05-03","5.32195"
"2014-05-10","0.61011"
"2014-05-17","0.76787"
"2014-05-24","0.04965"
"2014-05-31","0.21645"
"2014-06-28","0.07666"
"2014-07-05","0.9132"
"2014-07-19","0.09661"
"2014-07-26","1.29158"
"2014-08-02","0.29476"
"2014-08-09","0.8586"
"2014-08-16","0.86917"
"2014-08-23","1.65252"
"2014-08-30","0.36228"
"2014-09-06","0.39996"
"2014-09-13","1.5478"
"2014-09-20","0.93097"
"2014-09-27","0.28554"
"2014-10-04","0.47872"
"2014-10-11","0.71427"
"2014-10-18","1.01161"
"2014-10-25","0.92466"
"2014-11-01","1.29086"
"2014-11-08","0.82471"
"2014-11-15","1.47599"
"2014-11-22","1.23377"
"2014-11-29","1.11413"
"2014-12-06","2.21078"
"2014-12-13","6.25573"
"2014-12-20","11.473"
"2014-12-27","19.38435"
"2015-01-03","11.5557"
"2015-01-10","11.83162"
"2015-01-17","18.93057"
"2015-01-24","30.21806"
"2015-01-31","38.7416"
"2015-02-07","36.06491"
"2015-02-14","26.60298"
"2015-02-21","31.02142"
"2015-02-28","45.88638"
"2015-03-07","40.1456"
"2015-03-14","58.32238"
"2015-03-21","41.73283"
"2015-03-28","28.12377"
"2015-04-04","16.47911"
"2015-04-11","27.7234"
"2015-04-18","20.28973"
"2015-04-25","35.68939"
"2015-05-02","22.03632"
"2015-05-09","36.42652"
"2015-05-16","17.99944"
"2015-05-23","19.18883"
"2015-05-30","27.27167"
"2015-06-06","18.01824"
"2015-06-13","22.03618"
"2015-06-20","37.78255"
"2015-06-27","25.16967"
"2015-07-04","35.7809"
"2015-07-11","48.73456"
"2015-07-18","64.77818"
"2015-07-25","84.94979"
"2015-08-01","68.40279"
"2015-08-08","49.98071"
"2015-08-15","38.92138"
"2015-08-22","50.59018"
"2015-08-29","94.43588"
"2015-09-05","52.05813"
"2015-09-12","81.27205"
"2015-09-19","44.90998"
"2015-09-26","58.02879"
"2015-10-03","51.13289"
"2015-10-10","52.86392"
"2015-10-17","62.47095"
"2015-10-24","72.04044"
"2015-10-31","65.11608"
"2015-11-07","84.74496"
"2015-11-14","95.79013"
"2015-11-21","62.19246"
"2015-11-28","109.746"
"2015-12-05","102.25831"
"2015-12-12","102.00647"
"2015-12-19","88.4482"
"2015-12-26","72.01164"
"2016-01-02","85.25036"
"2016-01-09","84.46502"
"2016-01-16","80.25498"
"2016-01-23","143.87348"
"2016-01-30","116.30296"
"2016-02-06","140.32114"
"2016-02-13","138.36669"
"2016-02-20","192.25786"
"2016-02-27","144.30677"
"2016-03-05","169.44405"
"2016-03-12","224.1646"
"2016-03-19","205.06538"
"2016-03-26","154.87187"
"2016-04-02","224.019"
"2016-04-09","222.77592"
"2016-04-16","353.36057"
"2016-04-23","333.37594"
"2016-04-30","418.75231"
"2016-05-07","335.28749"
"2016-05-14","465.44465"
"2016-05-21","576.25695"
"2016-05-28","766.78412"
"2016-06-04","538.77449"
"2016-06-11","787.06733"
"2016-06-18","877.12707"
"2016-06-25","705.54408"
"2016-07-02","590.71228"
"2016-07-09","1068.43944"
"2016-07-16","1016.60315"
"2016-07-23","992.1706"
"2016-07-30","1223.06433"
"2016-08-06","1471.75039"
"2016-08-13","1374.60723"
"2016-08-20","1456.00839"
"2016-08-27","1710.81157"
"2016-09-03","1699.89511"
"2016-09-10","1551.83091"
"2016-09-17","2153.87949"
"2016-09-24","1913.2824"
"2016-10-01","1701.72678"
"2016-10-08","2391.90096"
"2016-10-15","3018.68013"
"2016-10-22","2359.33078"
"2016-10-29","3166.78435"
"2016-11-05","4378.52135"
"2016-11-12","4114.20404"
"2016-11-19","5013.8786"
"2016-11-26","5459.84937"
"2016-12-03","6879.46341"
"2016-12-10","6568.00599"
"2016-12-17","5279.45763"
"2016-12-24","7339.67403"
"2016-12-31","7939.59054"
"2017-01-07","7860.70153"
"2017-01-14","8828.83879"
"2017-01-21","9463.8262"
"2017-01-28","8545.86321"
"2017-02-04","12357.68964"
"2017-02-11","17247.95404"
"2017-02-18","18994.75702"
"2017-02-25","21887.7951"
"2017-03-04","19875.36376"
"2017-03-11","22584.53002"
"2017-03-18","21137.83526"
"2017-03-25","25171.70939"
"2017-04-01","28130.58408"
"2017-04-08","38582.54177"
"2017-04-15","25647.84034"
"2017-04-22","35199.15545"
"2017-04-29","35944.70984"
"2017-05-06","43659.55829"
"2017-05-13","53490.64351"
"2017-05-20","57127.84559"
"2017-05-27","64993.32626"
"2017-06-03","74403.60984"
"2017-06-10","84240.35748"
"2017-06-17","98691.93247"
"2017-06-24","92104.5054"
"2017-07-01","88531.6736"
"2017-07-08","73149.70369"
"2017-07-15","90364.16126"
"2017-07-22","94076.91275"
"2017-07-29","114688.41474"
"2017-08-05","183432.49083"
"2017-08-12","182160.95152"
"2017-08-19","224192.43"
"2017-08-26","218318.97177"
"2017-09-02","260435.12618"
"2017-09-09","304358.03201"
"2017-09-16","343858.1709"
"2017-09-23","291406.06409"
"2017-09-30","389492.08647"
"2017-10-07","432717.46625"
"2017-10-14","429923.99321"
"2017-10-21","678859.31372"
"2017-10-28","682039.67845"
"2017-11-04","828026.02796"
"2017-11-11","847437.13426"
"2017-11-18","1298033.15021"
"2017-11-25","1535809.76146"
"2017-12-02","2213559.12334"
"2017-12-09","2441282.05529"
"2017-12-16","2913977.97683"
"2017-12-23","3674723.11519"
"2017-12-30","2815250.42307"
"2018-01-06","3289803.78491"
"2018-01-13","6014733.12747"
"2018-01-20","5760059.64621"
"2018-01-27","6698657.88975"
"2018-02-03","6087626.57226"
"2018-02-10","6007979.53059"
"2018-02-17","7879902.57547"
"2018-02-24","6612916.2688"
"2018-03-03","8857522.84103"
"2018-03-10","9400336.32768"
"2018-03-17","9579840.03913"
"2018-03-24","10941229.0136"
"2018-03-31","9045568.4424"
"2018-04-07","17627162.82407"
"2018-04-14","28035317.07111"
"2018-04-21","34060030.51428"
"2018-04-28","34294906.59247"
"2018-05-05","33281924.74975"
"2018-05-12","37458885.67575"
"2018-05-19","38856165.08983"
"2018-05-26","49311788.60643"
"2018-06-02","69323099.04123"
"2018-06-09","76860525.04673"
"2018-06-16","77982487.34748"
"2018-06-23","89876693.28158"
"2018-06-30","101775668.78842"
"2018-07-07","101909362.75982"
"2018-07-14","118840278.16113"
"2018-07-21","144388125.27546"
"2018-07-28","132327874.60341"
"2018-08-04","175082475.27932"
"2018-08-11","210572926.80705"
"2018-08-18","274420352.08358"
"2018-08-25","298625898.44765"
"2018-09-01","292656095.72465"
"2018-09-08","581574215"
"2018-09-15","462787551"
"2018-09-22","623783513"
"2018-09-29","560720659"
"2018-10-06","742467368"
"2018-10-13","913106616"
"2018-10-20","1179306559"
"2018-10-27","1160737444"
"2018-11-03","1624307726"
"2018-11-10","1770798854"
"2018-11-17","1440063216"
"2018-11-24","1861938943"
"2018-12-01","2382943260"
"2018-12-08","3228560355"
"2018-12-15","3771680747"
"2018-12-22","5288443184"
"2018-12-29","4618557747"
"2019-01-05","5164238262"
"2019-01-12","13668697592"
"2019-01-19","13792914446"
"2019-01-26","15979503007"
"2019-02-02","17337852595"
"2019-02-09","24355772006"
"2019-02-16","19897801051"
"2019-02-23","24423410924"
"2019-03-02","25428209385"
"2019-03-09","14226657287"
"2019-03-16","21451590866"
"2019-03-23","21647226135"
"2019-03-30","19741591759"
"2019-04-06","26849982486"
"2019-04-13","31313666378"
"2019-04-20","29097950757"
"2019-04-27","36526382235"
"2019-05-04","37063278050"
"2019-05-11","40948658596"
"2019-05-18","39424521598"
"2019-05-25","36336969606"
"2019-06-01","39133316039"
"2019-06-08","40408304138"
"2019-06-15","46627665544"
"2019-06-22","46106978636"
"2019-06-29","41703684667"
"2019-07-06","47656236053"
"2019-07-13","49961753290"
"2019-07-20","57882288688"
"2019-07-27","47664642856"
"2019-08-03","67923595380"
"2019-08-10","76492029326"
"2019-08-17","71658547630"
"2019-08-24","77463254197"
"2019-08-31","116870312564"
"2019-09-07","120837018288"
"2019-09-14","104006582754"
"2019-09-21","92944236957"
"2019-09-28","87972980368"
"2019-10-05","101893487731"
"2019-10-12","86079044417"
"2019-10-19","80891890159"
"2019-10-26","93544798291"
"2019-11-02","115268638259"
"2019-11-09","144150090255"
"2019-11-16","138682204135"
"2019-11-23","139937044754"
"2019-11-30","151575309684"
"2019-12-07","205539955720"
"2019-12-14","209367431448"
"2019-12-21","248020764800"
"2019-12-28","205249611397"
"2020-01-04","263303721201"
"2020-01-11","366705897997"
"2020-01-18","396261837663"
"2020-01-25","350501630715"
"2020-02-01","365670721860"
"2020-02-08","386494120132"
"2020-02-15","343027201104"
"2020-02-22","291068138405"
"2020-02-29","241895184692"
"2020-03-07","311443420111"
"2020-03-14","268226299368"
"2020-03-21","269885340091"
"2020-03-28","294462895692"
"2020-04-04","417139149129"
"2020-04-11","420867451185"
"2020-04-18","538730123000"
"2020-04-25","722576827566"
"2020-05-02","724255565341"
"2020-05-09","938664545587"
"2020-05-16","759709200060"
"2020-05-23","834263577648"
"2020-05-30","829410146479"
"2020-06-06","997741394988"
"2020-06-13","918673884667"
"2020-06-20","959197727252"
"2020-06-27","753970141458"
"2020-07-04","1019046784561"
"2020-07-11","999452237320"
"2020-07-18","1091977902957"
"2020-07-25","1044737504869"
"2020-08-01","1279211876210"
"2020-08-08","1432035408497"
"2020-08-15","1482028306311"
"2020-08-22","1369481319801"
"2020-08-29","1610104887226"
"2020-09-05","1985253420798"
"2020-09-12","1796067103599"
"2020-09-19","1851057364097"
"2020-09-26","1852762903828"
