Timestamp,my-wallet-n-users
11/29/2011 1:00,2
12/13/2011 1:00,127
12/27/2011 1:00,369
1/10/2012 1:00,635
1/24/2012 1:00,1163
2/7/2012 1:00,1587
2/21/2012 1:00,2078
3/6/2012 1:00,2537
3/20/2012 1:00,3041
4/3/2012 0:00,3772
4/17/2012 0:00,4611
5/1/2012 0:00,5798
5/15/2012 0:00,6827
5/29/2012 0:00,7857
6/12/2012 0:00,9046
6/26/2012 0:00,10473
7/10/2012 0:00,12108
7/24/2012 0:00,14337
8/7/2012 0:00,16174
8/21/2012 0:00,18642
9/4/2012 0:00,21335
9/18/2012 0:00,24310
10/2/2012 0:00,28121
10/16/2012 1:00,32425
10/30/2012 1:00,36435
11/13/2012 1:00,40018
11/27/2012 1:00,44808
12/11/2012 1:00,53179
12/25/2012 1:00,72414
1/8/2013 1:00,83175
1/22/2013 1:00,97978
2/5/2013 1:00,108332
2/19/2013 1:00,119379
3/5/2013 1:00,131891
3/19/2013 1:00,145918
4/2/2013 1:00,172965
4/16/2013 0:00,223363
4/30/2013 0:00,246826
5/14/2013 0:00,269829
5/28/2013 0:00,289335
6/11/2013 0:00,308385
6/25/2013 0:00,325294
7/9/2013 0:00,344952
7/23/2013 0:00,360592
8/6/2013 0:00,377726
8/20/2013 0:00,398725
9/3/2013 0:00,418399
9/17/2013 0:00,434971
10/1/2013 0:00,453632
10/15/2013 1:00,474334
10/29/2013 1:00,504006
11/12/2013 1:00,553565
11/26/2013 1:00,653577
12/10/2013 1:00,821523
12/24/2013 1:00,928384
1/7/2014 1:00,1007391
1/21/2014 1:00,1094815
2/4/2014 1:00,1187610
2/18/2014 1:00,1266787
3/4/2014 1:00,1340251
3/18/2014 1:00,1395653
4/1/2014 1:00,1451982
4/15/2014 0:00,1504640
4/29/2014 0:00,1558676
5/13/2014 0:00,1606735
5/27/2014 0:00,1655830
6/10/2014 0:00,1711347
6/24/2014 0:00,1766949
7/8/2014 0:00,1826405
7/22/2014 0:00,1887510
8/5/2014 0:00,1970816
8/19/2014 0:00,2049465
9/2/2014 0:00,2125124
9/16/2014 0:00,2203182
9/30/2014 0:00,2271978
10/14/2014 1:00,2342157
10/28/2014 1:00,2412721
11/11/2014 1:00,2482915
11/25/2014 1:00,2554674
12/9/2014 1:00,2623710
12/23/2014 1:00,2690142
1/6/2015 1:00,2747920
1/20/2015 1:00,2815937
2/3/2015 1:00,2884217
2/17/2015 1:00,2963555
3/3/2015 1:00,3044636
