Continent_Name,Continent_Code,Country_Name,Country_Code,Currency_Code
Africa,AF,Algeria,DZA,DZD
Africa,AF,Angola,AGO,AOA
Africa,AF,Botswana,BWA,BWP
Africa,AF,Burundi,BDI,BIF
Africa,AF,Cameroon,CMR,XAF
Africa,AF,Cabo Verde,CPV,CVE
Africa,AF,Central African Republic (the),CAF,XAF
Africa,AF,Chad,TCD,XAF
Africa,AF,Comoros (the),COM,KMF
Africa,AF,Mayotte,MYT,EUR
Africa,AF,Congo (the),COG,CDF
Africa,AF,Congo (the Democratic Republic of the),COD,CDF
Africa,AF,Benin,BEN,XOF
Africa,AF,Equatorial Guinea,GNQ,XOF
Africa,AF,Ethiopia,ETH,ETB
Africa,AF,Eritrea,ERI,ERN
Africa,AF,Djibouti,DJI,DJF
Africa,AF,Gabon,GAB,XAF
Africa,AF,Gambia (the),GMB,GMD
Africa,AF,Ghana,GHA,GHS
Africa,AF,Guinea,GIN,GNF
Africa,AF,Côte d'Ivoire,CIV,XOF
Africa,AF,Kenya,KEN,KES
Africa,AF,Lesotho,LSO,ZAR
Africa,AF,Liberia,LBR,LRD
Africa,AF,Libya,LBY,LYD
Africa,AF,Madagascar,MDG,MGA
Africa,AF,Malawi,MWI,MWK
Africa,AF,Mali,MLI,XOF
Africa,AF,Mauritania,MRT,MRU
Africa,AF,Mauritius,MUS,MUR
Africa,AF,Morocco,MAR,MAD
Africa,AF,Mozambique,MOZ,MZN
Africa,AF,Namibia,NAM,ZAR
Africa,AF,Niger (the),NER,XOF
Africa,AF,Nigeria,NGA,NGN
Africa,AF,Guinea-Bissau,GNB,GWP
Africa,AF,Réunion,REU,EUR
Africa,AF,Rwanda,RWA,RWF
Africa,AF,Sao Tome and Principe,STP,STD
Africa,AF,Senegal,SEN,XOF
Africa,AF,Seychelles,SYC,SCR
Africa,AF,Sierra Leone,SLE,SLL
Africa,AF,Somalia,SOM,SOS
Africa,AF,South Africa,ZAF,ZAR
Africa,AF,Zimbabwe,ZWE,ZWL
Africa,AF,South Sudan,SSD,SSP
Africa,AF,Western Sahara,ESH,MAD
Africa,AF,Sudan (the),SDN,SDG
Africa,AF,Eswatini,SWZ,SZL
Africa,AF,Togo,TGO,XOF
Africa,AF,Tunisia,TUN,TND
Africa,AF,Uganda,UGA,UGX
Africa,AF,Egypt,EGY,EGP
Africa,AF,"Tanzania, United Republic of",TZA,TZS
Africa,AF,Burkina Faso,BFA,XAF
Africa,AF,Zambia,ZMB,ZMW
Antarctica,AN,Bouvet Island,BVT,NOK
Antarctica,AN,French Southern Territories (the),ATF,EUR
Antarctica,AN,Heard Island and McDonald Islands,HMD,AUD
Asia,AS,Afghanistan,AFG,AFN
Asia,AS,Azerbaijan,AZE,AZN
Asia,AS,Bahrain,BHR,BHD
Asia,AS,Bangladesh,BGD,BDT
Asia,AS,Armenia,ARM,AMD
Asia,AS,Bhutan,BTN,INR
Asia,AS,British Indian Ocean Territory (the),IOT,USD
Asia,AS,Brunei Darussalam,BRN,BDN
