Date_Key,Country,Country_Code,Fact,Fact_Type,Source
11/10/15,Andorra,AND,0,SearchInterest,Google
18/10/15,Andorra,AND,22,SearchInterest,Google
25/10/15,Andorra,AND,0,SearchInterest,Google
1/11/15,Andorra,AND,0,SearchInterest,Google
8/11/15,Andorra,AND,32,SearchInterest,Google
15/11/15,Andorra,AND,0,SearchInterest,Google
22/11/15,Andorra,AND,21,SearchInterest,Google
29/11/15,Andorra,AND,0,SearchInterest,Google
6/12/15,Andorra,AND,0,SearchInterest,Google
13/12/15,Andorra,AND,0,SearchInterest,Google
20/12/15,Andorra,AND,0,SearchInterest,Google
27/12/15,Andorra,AND,19,SearchInterest,Google
3/1/16,Andorra,AND,0,SearchInterest,Google
10/1/16,Andorra,AND,0,SearchInterest,Google
17/1/16,Andorra,AND,0,SearchInterest,Google
24/1/16,Andorra,AND,0,SearchInterest,Google
31/1/16,Andorra,AND,0,SearchInterest,Google
7/2/16,Andorra,AND,0,SearchInterest,Google
14/2/16,Andorra,AND,17,SearchInterest,Google
21/2/16,Andorra,AND,33,SearchInterest,Google
28/2/16,Andorra,AND,0,SearchInterest,Google
6/3/16,Andorra,AND,19,SearchInterest,Google
13/3/16,Andorra,AND,0,SearchInterest,Google
20/3/16,Andorra,AND,0,SearchInterest,Google
27/3/16,Andorra,AND,0,SearchInterest,Google
3/4/16,Andorra,AND,0,SearchInterest,Google
10/4/16,Andorra,AND,0,SearchInterest,Google
17/4/16,Andorra,AND,0,SearchInterest,Google
24/4/16,Andorra,AND,0,SearchInterest,Google
1/5/16,Andorra,AND,23,SearchInterest,Google
8/5/16,Andorra,AND,22,SearchInterest,Google
15/5/16,Andorra,AND,27,SearchInterest,Google
22/5/16,Andorra,AND,0,SearchInterest,Google
29/5/16,Andorra,AND,0,SearchInterest,Google
5/6/16,Andorra,AND,23,SearchInterest,Google
12/6/16,Andorra,AND,0,SearchInterest,Google
19/6/16,Andorra,AND,0,SearchInterest,Google
26/6/16,Andorra,AND,0,SearchInterest,Google
3/7/16,Andorra,AND,26,SearchInterest,Google
10/7/16,Andorra,AND,0,SearchInterest,Google
17/7/16,Andorra,AND,0,SearchInterest,Google
24/7/16,Andorra,AND,0,SearchInterest,Google
31/7/16,Andorra,AND,24,SearchInterest,Google
7/8/16,Andorra,AND,0,SearchInterest,Google
14/8/16,Andorra,AND,27,SearchInterest,Google
21/8/16,Andorra,AND,0,SearchInterest,Google
28/8/16,Andorra,AND,0,SearchInterest,Google
4/9/16,Andorra,AND,0,SearchInterest,Google
11/9/16,Andorra,AND,23,SearchInterest,Google
18/9/16,Andorra,AND,0,SearchInterest,Google
25/9/16,Andorra,AND,0,SearchInterest,Google
2/10/16,Andorra,AND,0,SearchInterest,Google
9/10/16,Andorra,AND,0,SearchInterest,Google
16/10/16,Andorra,AND,0,SearchInterest,Google
23/10/16,Andorra,AND,0,SearchInterest,Google
30/10/16,Andorra,AND,0,SearchInterest,Google
6/11/16,Andorra,AND,0,SearchInterest,Google
13/11/16,Andorra,AND,0,SearchInterest,Google
20/11/16,Andorra,AND,0,SearchInterest,Google
27/11/16,Andorra,AND,0,SearchInterest,Google
4/12/16,Andorra,AND,0,SearchInterest,Google
11/12/16,Andorra,AND,22,SearchInterest,Google
18/12/16,Andorra,AND,0,SearchInterest,Google
25/12/16,Andorra,AND,0,SearchInterest,Google
1/1/17,Andorra,AND,30,SearchInterest,Google
8/1/17,Andorra,AND,18,SearchInterest,Google
15/1/17,Andorra,AND,0,SearchInterest,Google
22/1/17,Andorra,AND,17,SearchInterest,Google
29/1/17,Andorra,AND,18,SearchInterest,Google
5/2/17,Andorra,AND,0,SearchInterest,Google
12/2/17,Andorra,AND,36,SearchInterest,Google
19/2/17,Andorra,AND,19,SearchInterest,Google
26/2/17,Andorra,AND,0,SearchInterest,Google
5/3/17,Andorra,AND,0,SearchInterest,Google
12/3/17,Andorra,AND,19,SearchInterest,Google
19/3/17,Andorra,AND,18,SearchInterest,Google
26/3/17,Andorra,AND,20,SearchInterest,Google
2/4/17,Andorra,AND,19,SearchInterest,Google
9/4/17,Andorra,AND,20,SearchInterest,Google
16/4/17,Andorra,AND,24,SearchInterest,Google
23/4/17,Andorra,AND,0,SearchInterest,Google
30/4/17,Andorra,AND,0,SearchInterest,Google
7/5/17,Andorra,AND,21,SearchInterest,Google
14/5/17,Andorra,AND,23,SearchInterest,Google
21/5/17,Andorra,AND,34,SearchInterest,Google
