Country_Key,Fact,Fact_Type,Source
AFG,7.49,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
ALB,29.04,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
DZA,4.18,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
AND,115.88,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
AGO,12.93,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
ATG,14.73,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
ARG,30.21,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
ARM,24.05,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
AUS,40.37,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
AUT,41.87,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
AZE,17.2,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
BHS,28.32,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
BHR,43.05,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
BGD,22.13,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
BRB,80.74,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
BLR,47.9,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
BEL,70,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
BLZ,23.63,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
BEN,8.93,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
BTN,20.98,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
BOL,12.23,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
BIH,25.14,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
BWA,9.07,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
BRA,40.5,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
BRN,20.97,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
BFA,9.41,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
BDI,7.78,broadbandSpeed,https://worldpopulationreview.com/country-rankings/internet-speeds-by-country
