Key,period,Source_Country_code,destination_Country_code,Currency_Code,Fact_Type,Fact,Source
2016_2Q-AGO-NAM-AOA,2016_2Q,AGO,NAM,AOA,Average total cost % of sending the equivialent of $200 USD,19.33333333,World Bank
2016_2Q-ARE-BGD-AED,2016_2Q,ARE,BGD,AED,Average total cost % of sending the equivialent of $200 USD,2.125,World Bank
2016_2Q-ARE-EGY-AED,2016_2Q,ARE,EGY,AED,Average total cost % of sending the equivialent of $200 USD,4.3,World Bank
2016_2Q-ARE-IDN-AED,2016_2Q,ARE,IDN,AED,Average total cost % of sending the equivialent of $200 USD,6.142857143,World Bank
2016_2Q-ARE-IND-AED,2016_2Q,ARE,IND,AED,Average total cost % of sending the equivialent of $200 USD,2.571428571,World Bank
2016_2Q-ARE-JOR-AED,2016_2Q,ARE,JOR,AED,Average total cost % of sending the equivialent of $200 USD,5.142857143,World Bank
2016_2Q-ARE-LKA-AED,2016_2Q,ARE,LKA,AED,Average total cost % of sending the equivialent of $200 USD,2.764705882,World Bank
2016_2Q-ARE-NPL-AED,2016_2Q,ARE,NPL,AED,Average total cost % of sending the equivialent of $200 USD,3.6,World Bank
2016_2Q-ARE-PAK-AED,2016_2Q,ARE,PAK,AED,Average total cost % of sending the equivialent of $200 USD,2.3125,World Bank
2016_2Q-ARE-PHL-AED,2016_2Q,ARE,PHL,AED,Average total cost % of sending the equivialent of $200 USD,3.882352941,World Bank
2016_2Q-ARE-SDN-AED,2016_2Q,ARE,SDN,AED,Average total cost % of sending the equivialent of $200 USD,1,World Bank
2016_2Q-ARE-SSD-AED,2016_2Q,ARE,SSD,AED,Average total cost % of sending the equivialent of $200 USD,7.5,World Bank
2016_2Q-ARE-YEM-AED,2016_2Q,ARE,YEM,AED,Average total cost % of sending the equivialent of $200 USD,5,World Bank
2016_2Q-AUS-CHN-AUD,2016_2Q,AUS,CHN,AUD,Average total cost % of sending the equivialent of $200 USD,11.04761905,World Bank
2016_2Q-AUS-FJI-AUD,2016_2Q,AUS,FJI,AUD,Average total cost % of sending the equivialent of $200 USD,9.714285714,World Bank
2016_2Q-AUS-IDN-AUD,2016_2Q,AUS,IDN,AUD,Average total cost % of sending the equivialent of $200 USD,8.588235294,World Bank
2016_2Q-AUS-IND-AUD,2016_2Q,AUS,IND,AUD,Average total cost % of sending the equivialent of $200 USD,6.783783784,World Bank
2016_2Q-AUS-LBN-AUD,2016_2Q,AUS,LBN,AUD,Average total cost % of sending the equivialent of $200 USD,13.03448276,World Bank
2016_2Q-AUS-LKA-AUD,2016_2Q,AUS,LKA,AUD,Average total cost % of sending the equivialent of $200 USD,8.5,World Bank
2016_2Q-AUS-MYS-AUD,2016_2Q,AUS,MYS,AUD,Average total cost % of sending the equivialent of $200 USD,13.28571429,World Bank
2016_2Q-AUS-PAK-AUD,2016_2Q,AUS,PAK,AUD,Average total cost % of sending the equivialent of $200 USD,7.333333333,World Bank
2016_2Q-AUS-PHL-AUD,2016_2Q,AUS,PHL,AUD,Average total cost % of sending the equivialent of $200 USD,5.228571429,World Bank
2016_2Q-AUS-SOM-AUD,2016_2Q,AUS,SOM,AUD,Average total cost % of sending the equivialent of $200 USD,8.5,World Bank
2016_2Q-AUS-THA-AUD,2016_2Q,AUS,THA,AUD,Average total cost % of sending the equivialent of $200 USD,11.90909091,World Bank
2016_2Q-AUS-TON-AUD,2016_2Q,AUS,TON,AUD,Average total cost % of sending the equivialent of $200 USD,11.4,World Bank
2016_2Q-AUS-VNM-AUD,2016_2Q,AUS,VNM,AUD,Average total cost % of sending the equivialent of $200 USD,9.25,World Bank
2016_2Q-AUS-VUT-AUD,2016_2Q,AUS,VUT,AUD,Average total cost % of sending the equivialent of $200 USD,18.16666667,World Bank
2016_2Q-AUS-WSM-AUD,2016_2Q,AUS,WSM,AUD,Average total cost % of sending the equivialent of $200 USD,11.33333333,World Bank
2016_2Q-AUS-ZWE-AUD,2016_2Q,AUS,ZWE,AUD,Average total cost % of sending the equivialent of $200 USD,12.625,World Bank
2016_2Q-AUT-BIH-EUR,2016_2Q,AUT,BIH,EUR,Average total cost % of sending the equivialent of $200 USD,8.875,World Bank
2016_2Q-AUT-HRV-EUR,2016_2Q,AUT,HRV,EUR,Average total cost % of sending the equivialent of $200 USD,4.375,World Bank
2016_2Q-AUT-HUN-EUR,2016_2Q,AUT,HUN,EUR,Average total cost % of sending the equivialent of $200 USD,8,World Bank
2016_2Q-AUT-KSV-EUR,2016_2Q,AUT,KSV,EUR,Average total cost % of sending the equivialent of $200 USD,7.6,World Bank
2016_2Q-AUT-SRB-EUR,2016_2Q,AUT,SRB,EUR,Average total cost % of sending the equivialent of $200 USD,7.25,World Bank
2016_2Q-AUT-TUR-EUR,2016_2Q,AUT,TUR,EUR,Average total cost % of sending the equivialent of $200 USD,5.5625,World Bank
2016_2Q-BEL-COD-EUR,2016_2Q,BEL,COD,EUR,Average total cost % of sending the equivialent of $200 USD,7.444444444,World Bank
2016_2Q-BEL-DZA-EUR,2016_2Q,BEL,DZA,EUR,Average total cost % of sending the equivialent of $200 USD,10,World Bank
2016_2Q-BEL-MAR-EUR,2016_2Q,BEL,MAR,EUR,Average total cost % of sending the equivialent of $200 USD,5.076923077,World Bank
2016_2Q-BEL-TUR-EUR,2016_2Q,BEL,TUR,EUR,Average total cost % of sending the equivialent of $200 USD,8.166666667,World Bank
2016_2Q-BHR-EGY-BHD,2016_2Q,BHR,EGY,BHD,Average total cost % of sending the equivialent of $200 USD,6.571428571,World Bank
2016_2Q-BHR-IND-BHD,2016_2Q,BHR,IND,BHD,Average total cost % of sending the equivialent of $200 USD,2.071428571,World Bank
2016_2Q-BHR-PAK-BHD,2016_2Q,BHR,PAK,BHD,Average total cost % of sending the equivialent of $200 USD,2.428571429,World Bank
2016_2Q-BRA-BOL-BRL,2016_2Q,BRA,BOL,BRL,Average total cost % of sending the equivialent of $200 USD,6.222222222,World Bank
2016_2Q-BRA-PER-BRL,2016_2Q,BRA,PER,BRL,Average total cost % of sending the equivialent of $200 USD,6.166666667,World Bank
2016_2Q-BRA-PRY-BRL,2016_2Q,BRA,PRY,BRL,Average total cost % of sending the equivialent of $200 USD,5.888888889,World Bank
2016_2Q-CAN-CHN-CAD,2016_2Q,CAN,CHN,CAD,Average total cost % of sending the equivialent of $200 USD,8.5,World Bank
2016_2Q-CAN-GHA-CAD,2016_2Q,CAN,GHA,CAD,Average total cost % of sending the equivialent of $200 USD,9.333333333,World Bank
2016_2Q-CAN-GUY-CAD,2016_2Q,CAN,GUY,CAD,Average total cost % of sending the equivialent of $200 USD,10.66666667,World Bank
2016_2Q-CAN-HTI-CAD,2016_2Q,CAN,HTI,CAD,Average total cost % of sending the equivialent of $200 USD,10.14285714,World Bank
2016_2Q-CAN-IND-CAD,2016_2Q,CAN,IND,CAD,Average total cost % of sending the equivialent of $200 USD,7.611111111,World Bank
