"t","v"
"2010-07-17T00:00:00Z","170264.89"
"2010-07-18T00:00:00Z","222567.2279999997"
"2010-07-19T00:00:00Z","313801.98521739163"
"2010-07-20T00:00:00Z","275741.2325458882"
"2010-07-21T00:00:00Z","244462.55119767468"
"2010-07-22T00:00:00Z","236982.21263450306"
"2010-07-23T00:00:00Z","221497.44544772524"
"2010-07-24T00:00:00Z","200507.300639483"
"2010-07-25T00:00:00Z","202307.28160698691"
"2010-07-26T00:00:00Z","177257.2819819816"
"2010-07-27T00:00:00Z","208989.97526408383"
"2010-07-28T00:00:00Z","204488.90616366407"
"2010-07-29T00:00:00Z","212446.6727811601"
"2010-07-30T00:00:00Z","230185.0356332091"
"2010-07-31T00:00:00Z","229576.88927715074"
"2010-08-01T00:00:00Z","219085.466096385"
"2010-08-02T00:00:00Z","221130.1915624993"
"2010-08-03T00:00:00Z","222412.43066113125"
"2010-08-04T00:00:00Z","218034.29291457363"
"2010-08-05T00:00:00Z","217909.153820961"
"2010-08-06T00:00:00Z","225656.07540772573"
"2010-08-07T00:00:00Z","221710.39635444924"
"2010-08-08T00:00:00Z","217760.75103896027"
"2010-08-09T00:00:00Z","234546.88837099625"
"2010-08-10T00:00:00Z","252059.7134765627"
"2010-08-11T00:00:00Z","256871.92559012206"
"2010-08-12T00:00:00Z","241190.2644146328"
"2010-08-13T00:00:00Z","246152.38335841353"
"2010-08-14T00:00:00Z","248389.10134257955"
"2010-08-15T00:00:00Z","248765.28904181914"
"2010-08-16T00:00:00Z","245519.85817750677"
"2010-08-17T00:00:00Z","245975.46052925766"
"2010-08-18T00:00:00Z","265300.13781481487"
"2010-08-19T00:00:00Z","253855.86019313405"
"2010-08-20T00:00:00Z","248381.61339834082"
"2010-08-21T00:00:00Z","246791.97566914532"
"2010-08-22T00:00:00Z","239212.04540484617"
"2010-08-23T00:00:00Z","247945.89084962456"
"2010-08-24T00:00:00Z","250052.40328017162"
"2010-08-25T00:00:00Z","247763.51909146208"
"2010-08-26T00:00:00Z","246791.8490320192"
"2010-08-27T00:00:00Z","246324.1261304349"
"2010-08-28T00:00:00Z","249073.88952766277"
"2010-08-29T00:00:00Z","247630.00309012842"
"2010-08-30T00:00:00Z","242581.8911808116"
"2010-08-31T00:00:00Z","245399.28694979305"
"2010-09-01T00:00:00Z","236539.92662687748"
"2010-09-02T00:00:00Z","236233.31301818232"
"2010-09-03T00:00:00Z","243004.24837500014"
"2010-09-04T00:00:00Z","239462.92626923067"
"2010-09-05T00:00:00Z","243367.34346774226"
"2010-09-06T00:00:00Z","242143.58390909122"
"2010-09-07T00:00:00Z","241289.10847528523"
