"t","v"
"2010-07-01T00:00:00Z","26885.89"
"2010-07-02T00:00:00Z","106204.73"
"2010-07-03T00:00:00Z","36450"
"2010-07-04T00:00:00Z","18609.5"
"2010-07-05T00:00:00Z","53097.01"
"2010-07-06T00:00:00Z","19335.5"
"2010-07-07T00:00:00Z","49130.31"
"2010-07-08T00:00:00Z","16872.94"
"2010-07-09T00:00:00Z","11622"
"2010-07-10T00:00:00Z","20502.74"
"2010-07-11T00:00:00Z","47231.99"
"2010-07-12T00:00:00Z","2600869.97"
"2010-07-13T00:00:00Z","302368.32"
"2010-07-14T00:00:00Z","321455.84"
"2010-07-15T00:00:00Z","85848.26"
"2010-07-16T00:00:00Z","60893.77"
"2010-07-17T00:00:00Z","24097.83"
"2010-07-18T00:00:00Z","36069.26"
"2010-07-19T00:00:00Z","47149.66"
"2010-07-20T00:00:00Z","29902.34"
"2010-07-21T00:00:00Z","27654.54"
"2010-07-22T00:00:00Z","39631.62"
"2010-07-23T00:00:00Z","20614.78"
"2010-07-24T00:00:00Z","43741.96"
"2010-07-25T00:00:00Z","47062.53"
"2010-07-26T00:00:00Z","86950.36"
"2010-07-27T00:00:00Z","31898.53"
"2010-07-28T00:00:00Z","67559.48"
"2010-07-29T00:00:00Z","19060.34"
"2010-07-30T00:00:00Z","20161.53"
"2010-07-31T00:00:00Z","15433.19"
"2010-08-01T00:00:00Z","270099.91"
"2010-08-02T00:00:00Z","63563.16"
"2010-08-03T00:00:00Z","40483.6"
"2010-08-04T00:00:00Z","33636.45"
"2010-08-05T00:00:00Z","40802.01"
"2010-08-06T00:00:00Z","18582.01"
"2010-08-07T00:00:00Z","25270.61"
"2010-08-08T00:00:00Z","10335.05"
"2010-08-09T00:00:00Z","77358.9"
"2010-08-10T00:00:00Z","33871.85"
"2010-08-11T00:00:00Z","54887.41"
"2010-08-12T00:00:00Z","15702.83"
"2010-08-13T00:00:00Z","35062.59"
"2010-08-14T00:00:00Z","16201.74"
"2010-08-15T00:00:00Z","16916.58"
"2010-08-16T00:00:00Z","69174.21"
"2010-08-17T00:00:00Z","49995.99"
"2010-08-18T00:00:00Z","37386.94"
"2010-08-19T00:00:00Z","20402.1"
"2010-08-20T00:00:00Z","29578.41"
"2010-08-21T00:00:00Z","38678.31"
"2010-08-22T00:00:00Z","20418.19"
"2010-08-23T00:00:00Z","17776.11"
"2010-08-24T00:00:00Z","21093.11"
"2010-08-25T00:00:00Z","15911.1"
"2010-08-26T00:00:00Z","14247.79"
"2010-08-27T00:00:00Z","28697.3"
"2010-08-28T00:00:00Z","16629.5199904"
"2010-08-29T00:00:00Z","8604.36"
"2010-08-30T00:00:00Z","13838.5500009"
"2010-08-31T00:00:00Z","40152.7799962"
"2010-09-01T00:00:00Z","28757.5099972"
"2010-09-02T00:00:00Z","34736.7000001"
"2010-09-03T00:00:00Z","29856.34"
"2010-09-04T00:00:00Z","30026.36"
"2010-09-05T00:00:00Z","137209.7"
"2010-09-06T00:00:00Z","75602.1399983"
"2010-09-07T00:00:00Z","18241.26"
"2010-09-08T00:00:00Z","17647.8099964"
"2010-09-09T00:00:00Z","34167.6399981"
"2010-09-10T00:00:00Z","14173.3299979"
"2010-09-11T00:00:00Z","10218.41"
"2010-09-12T00:00:00Z","18567.2300003"
"2010-09-13T00:00:00Z","117177.93"
"2010-09-14T00:00:00Z","30294.06480176"
"2010-09-15T00:00:00Z","39913.55039648"
"2010-09-16T00:00:00Z","34583.51"
"2010-09-17T00:00:00Z","75298.13"
"2010-09-18T00:00:00Z","43622.4"
"2010-09-19T00:00:00Z","51131.25960352"
"2010-09-20T00:00:00Z","41553.1"
"2010-09-21T00:00:00Z","27711.66"
"2010-09-22T00:00:00Z","44685.49"
"2010-09-23T00:00:00Z","126597.79"
"2010-09-24T00:00:00Z","19343.86"
"2010-09-25T00:00:00Z","29948.1"
"2010-09-26T00:00:00Z","22484.51"
"2010-09-27T00:00:00Z","33372.99"
"2010-09-28T00:00:00Z","81675.2150332"
"2010-09-29T00:00:00Z","94021.76"
"2010-09-30T00:00:00Z","41615.03"
"2010-10-01T00:00:00Z","58282.82812108"
"2010-10-02T00:00:00Z","363886.84"
"2010-10-03T00:00:00Z","75755.03"
"2010-10-04T00:00:00Z","556012.89"
"2010-10-05T00:00:00Z","193721.7800002"
"2010-10-06T00:00:00Z","121501.46"
"2010-10-07T00:00:00Z","127369.09"
"2010-10-08T00:00:00Z","153154.63"
"2010-10-09T00:00:00Z","185663.91"
"2010-10-10T00:00:00Z","118448.13"
"2010-10-11T00:00:00Z","54858.71"
"2010-10-12T00:00:00Z","78073.95"
"2010-10-13T00:00:00Z","114251.44"
"2010-10-14T00:00:00Z","177909.55"
"2010-10-15T00:00:00Z","146466.49"
"2010-10-16T00:00:00Z","198190.89000109"
"2010-10-17T00:00:00Z","108491.74"
"2010-10-18T00:00:00Z","217546.15"
"2010-10-19T00:00:00Z","265633.5"
"2010-10-20T00:00:00Z","199661.77"
"2010-10-21T00:00:00Z","186303.98"
"2010-10-22T00:00:00Z","129428.13"
"2010-10-23T00:00:00Z","43145.28"
"2010-10-24T00:00:00Z","104794.39"
"2010-10-25T00:00:00Z","149994.65"
"2010-10-26T00:00:00Z","181342.71"
"2010-10-27T00:00:00Z","201860.17"
"2010-10-28T00:00:00Z","187623.54"
"2010-10-29T00:00:00Z","86075.29"
"2010-10-30T00:00:00Z","58491.04"
"2010-10-31T00:00:00Z","64906.13"
"2010-11-01T00:00:00Z","42257.25"
"2010-11-02T00:00:00Z","62526.09"
"2010-11-03T00:00:00Z","56979.98"
"2010-11-04T00:00:00Z","156797.78108788"
"2010-11-05T00:00:00Z","42009.83"
"2010-11-06T00:00:00Z","126535.36"
"2010-11-07T00:00:00Z","89753.73"
"2010-11-08T00:00:00Z","499441.79"
"2010-11-09T00:00:00Z","51767.22"
"2010-11-10T00:00:00Z","58545.56"
"2010-11-11T00:00:00Z","41618.51"
"2010-11-12T00:00:00Z","33689.8"
"2010-11-13T00:00:00Z","38105.96"
"2010-11-14T00:00:00Z","35414.88"
"2010-11-15T00:00:00Z","261987.23"
"2010-11-16T00:00:00Z","378031.26"
"2010-11-17T00:00:00Z","62082.52"
"2010-11-18T00:00:00Z","59498.46108788"
"2010-11-19T00:00:00Z","54398.74"
"2010-11-20T00:00:00Z","159099.26"
"2010-11-21T00:00:00Z","126034.96"
"2010-11-22T00:00:00Z","31402.79"
"2010-11-23T00:00:00Z","42631.65"
"2010-11-24T00:00:00Z","38608.89"
"2010-11-25T00:00:00Z","50602.19"
"2010-11-26T00:00:00Z","89105.83"
"2010-11-27T00:00:00Z","24279.84"
"2010-11-28T00:00:00Z","24283.6"
"2010-11-29T00:00:00Z","34689.85"
"2010-11-30T00:00:00Z","59750.89"
"2010-12-01T00:00:00Z","55044.62"
"2010-12-02T00:00:00Z","61254.39"
"2010-12-03T00:00:00Z","27582.73"
"2010-12-04T00:00:00Z","65206.76106783"
"2010-12-05T00:00:00Z","21426.76"
"2010-12-06T00:00:00Z","96030.00094584"
"2010-12-07T00:00:00Z","86851.21219765"
"2010-12-08T00:00:00Z","29647.27528566"
"2010-12-09T00:00:00Z","42492.55"
