Time,bit-x,bitfinex,bitflyer,bitstamp,btcchina,coinbase,huobi,kraken,okcoin,others
2015-10-03 00:00:00 UTC,8630.10100881,6119.21026869,108.3072,17777.15133157,12460.551,5223.14934572,104273.888500002,1347.30621449,107733.790999997,55250.06360259295
2015-10-04 00:00:00 UTC,6799.98276506,2081.94241537,341.159,15015.06671892,12362.0625999999,4861.06378655,113324.902800003,1098.54695108,150804.04499999,48345.5686758911
2015-10-05 00:00:00 UTC,8983.34687687,12198.93702028,432.6265,20316.50364912,21206.9624999998,8795.22919546999,160541.175100002,3607.87081885,190886.296000011,71669.70152617099
2015-10-06 00:00:00 UTC,7903.05236054,16277.3495449,721.00931999,26684.24752551,21383.9252,11530.68568979,194429.707400002,4620.35660147,221140.174999969,76670.65465051026
2015-10-07 00:00:00 UTC,8729.31739528,8806.62652877,510.4728,23768.19691198,19028.8257999999,9637.03472805999,167214.966800007,2793.10049187,221199.667000011,74051.9650864793
2015-10-08 00:00:00 UTC,8694.276626,6046.70528354,367.4344,13983.75205653,23627.3657999999,6131.73165502999,156413.396000003,3708.23146148,136619.749000003,74144.61341850903
2015-10-09 00:00:00 UTC,8503.23718424,3572.48926215,324.05122423,14099.91553839,23135.9734999998,5301.16875657999,148171.455100004,2620.62360141,208716.675000004,62020.59612336531
2015-10-10 00:00:00 UTC,9211.27201577,4196.52667741,251.42254,17313.14235341,21434.9146999999,3910.41030641,126190.760600003,2183.56735468,175334.913,47394.616117917896
2015-10-11 00:00:00 UTC,8792.03728553,4868.94170189,654.6542,19140.3554108,22309.0016999998,4527.79845342999,116202.066000003,1720.40849152,141807.115999997,40899.28801616871
2015-10-12 00:00:00 UTC,8809.52966201,5203.50998203,493.47258925,10671.70376409,26725.0663999999,5794.29188997999,165812.450000009,2684.29296892,192521.496000008,53859.62248169287
2015-10-13 00:00:00 UTC,8283.34965925,16746.31969231,832.45519884,25901.60284773,33744.3311,6914.20947804999,241223.818200005,5337.37681575,286886.00500002,71221.08644189725
2015-10-14 00:00:00 UTC,8313.13069483,10143.26693665,773.08673818,26942.8709963,32391.8616999999,8340.46008410999,521700.871299995,4575.69156853,623969.418000014,67674.49443854789
2015-10-15 00:00:00 UTC,8384.36581879,10462.87049232,1252.10542514,22037.62801049,38094.1100000001,7268.09641078999,272405.204699999,4935.64089381,377209.622000007,68384.68358610156
2015-10-16 00:00:00 UTC,7001.49613372,21966.84227808,1518.72690279,34816.74109381,46975.9618000003,10377.41904386,597996.800799994,7444.83255428,480061.267000004,71346.38285863072
2015-10-17 00:00:00 UTC,5888.93017085,42840.66767715,2908.88650934,25328.14897726,62842.5927000003,13326.16013496,348261.50469999,8328.96906934,415716.06500001,76570.15575945465
2015-10-18 00:00:00 UTC,7805.6895336,15347.19309163,2344.84395651,10003.12667189,40178.8934,7344.02053317999,91187.1899000073,4347.66526363,223480.683000016,55421.83295370986
2015-10-19 00:00:00 UTC,8269.34264446,10903.41916897,1810.8405361,16704.69881339,31698.2749999999,5944.06306635999,463635.756299997,6270.72142241,358659.405000006,54005.91025457645
2015-10-20 00:00:00 UTC,7640.30432817,14439.64408514,972.27589747,28967.44125269,31663.7401999999,4865.80032796,552197.358499999,6421.253686,397799.608000003,66755.4564591163
2015-10-21 00:00:00 UTC,8490.40760622,10617.44629594,629.24745798,20396.77801306,36384.8308,6381.28307162999,210701.085300007,5059.35292793,378171.260999982,67453.16330668105
2015-10-22 00:00:00 UTC,7391.88058198,27240.7695845,669.46133243,30166.42544252,37799.5809,9002.92759502999,245537.167200001,7634.62118908,450352.263999997,59809.14773706279
2015-10-23 00:00:00 UTC,8309.162521,15857.56333783,878.59374648,21572.26847047,36396.7785,7320.92934678999,155661.427200008,5327.70485814,199927.600000025,53681.75901953558
2015-10-24 00:00:00 UTC,8356.03026096,13934.58656724,943.41897236,20586.33501752,40123.9936999999,5886.90332089,250679.426900009,3466.68465689,256900.392000025,44608.1471242101
2015-10-25 00:00:00 UTC,6509.2606096,40017.6507969,3113.5697309,30003.58655651,62070.8624000005,11628.49395754,450813.968699986,7771.11366383,513414.206999963,65803.33053641113
2015-10-26 00:00:00 UTC,8032.05140209,17157.55627524,1221.31513462,21266.47299543,49852.2287000001,7691.68561175,287297.765400002,3993.1744517,304889.471000021,71946.02584426386
2015-10-27 00:00:00 UTC,7039.46377324,26822.84229073,1725.29543594,34002.14865181,54361.9231000003,12102.63523885,380416.989499989,8123.24589939,531095.943999937,82904.96750188612
2015-10-28 00:00:00 UTC,6734.24921996,35610.6397048701,1390.62617688,31262.87300679,57546.9847000008,16898.0845298599,554878.194499994,10555.37983551,530850.441000007,82349.49301053052
2015-10-29 00:00:00 UTC,6216.14526103,51213.84331228,3470.30276049,32258.60542612,63451.089,12560.2478277999,868134.757499997,12027.91797769,538765.201999986,98268.54099798325
2015-10-30 00:00:00 UTC,4140.79525608,62862.2379375901,3547.89111626,39364.02820732,93232.0332000006,17476.3220241999,915977.863599979,14509.52728497,1238912.14000006,123887.83490717672
2015-10-31 00:00:00 UTC,5709.03992683,42942.3117877901,1794.46312877,28765.17836259,57897.9075,22867.7752004205,757947.083299963,7517.72902042,919758.886000017,86867.99088263871
2015-11-01 00:00:00 UTC,6030.1538617,25673.08701765,1202.22766312,14281.54590222,44554.2612,13555.7562162299,693056.927899986,5938.06475635,888216.75100001,73292.95454041695
2015-11-02 00:00:00 UTC,2491.45733665,71218.1479877501,1861.31912526,45146.48338984,62172.0456,20607.6792875398,681545.860699968,12345.7154814,728921.864000014,128643.48414027951
2015-11-03 00:00:00 UTC,770.16022732,171811.47423274,2861.99671973,77212.80072074,114678.501800001,41522.7547378198,845537.273199947,28774.75896108,982375.220999931,151370.29178510554
2015-11-04 00:00:00 UTC,1011.23895078,274470.23823394,2711.31580222,105959.25914077,125217.828300001,52861.9918207303,641170.186999918,38170.3451707001,905170.074999882,209612.52833308405
2015-11-05 00:00:00 UTC,5274.51823756,157932.047982651,1537.79237833,60174.7134884599,84319.8403000008,27765.9061700098,580896.384199964,19698.61345966,958615.756999879,182226.52861230887
2015-11-06 00:00:00 UTC,6813.58519473,106656.20529615,1449.07545541,46952.53785182,82694.9465000005,20340.5082846499,527527.898399971,18028.72478115,1001498.76699988,138573.78108804958
2015-11-07 00:00:00 UTC,11807.83142909,34416.71346293,894.48259142,26348.5951725,63865.5205000005,8602.29622717993,282845.516000014,5914.60183582,586359.761999978,75334.784720016
2015-11-08 00:00:00 UTC,12565.76438826,30831.92301096,949.76596559,27445.01908688,46125.1306,7542.02765197999,175787.657500024,5238.88867025,350580.164000074,55723.55148964345
2015-11-09 00:00:00 UTC,11312.42212256,38111.95484914,1115.01804688,25934.97280336,57157.5392000002,11402.9688668399,397095.232699999,6805.51365352,440755.337000036,79241.29545703372
2015-11-10 00:00:00 UTC,4117.71807027,88482.2856964401,2017.29477794,48890.59709485,78593.8424000004,16896.9124686002,448015.219500008,16158.33354709,905424.300999995,94768.56058984078
2015-11-11 00:00:00 UTC,5134.18970992,117018.93148587,3464.26710636,51510.30806168,128055.807300002,18370.74916693,458431.527099998,20685.1313606,720073.993999987,126445.08430657291
